settlement_date,settlement_period,nd,tsd,england_wales_demand,embedded_wind_generation,embedded_wind_capacity,embedded_solar_generation,embedded_solar_capacity,non_bm_stor,pump_storage_pumping,scottish_transfer,ifa_flow,ifa2_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,nsl_flow,eleclink_flow,viking_flow
2024-01-01,1,21783,23466,19539,2804,6488,0,16726,0,808,-71,417,-4,666,-179,-92,905,62,998,572
2024-01-01,2,22521,24103,20286,2834,6488,0,16726,0,895,288,430,-4,661,-60,-8,901,-15,998,575
2024-01-01,3,22194,24754,20070,2868,6488,0,16726,0,1441,466,834,-4,661,-118,-1,807,-396,997,422
2024-01-01,4,21510,24505,19424,2901,6488,0,16726,0,1564,262,839,-4,661,-270,-84,803,-473,997,401
2024-01-01,5,20619,23977,18674,2933,6488,0,16726,0,1454,595,53,-5,661,-340,-103,537,-856,998,28
2024-01-01,6,20099,23775,18184,2965,6488,0,16726,0,1555,888,18,-5,661,-340,-241,526,-935,999,-4
2024-01-01,7,19345,23474,17561,2987,6488,0,16726,0,1530,988,361,-5,546,-340,-326,414,-1328,995,-341
2024-01-01,8,18743,23061,16968,3008,6488,0,16726,0,1521,793,381,-5,541,-340,-470,411,-1382,995,-367
2024-01-01,9,18365,22732,16612,3000,6488,0,16726,0,1526,1087,225,-5,271,-340,-452,596,-1444,994,-432
2024-01-01,10,18128,22501,16442,2992,6488,0,16726,0,1500,1217,235,-5,259,-340,-477,602,-1451,969,-438
2024-01-01,11,18079,22495,16430,2929,6488,0,16726,0,1491,1290,1057,-5,293,-340,-528,584,-1452,113,-503
2024-01-01,12,18189,22596,16565,2865,6488,0,16726,0,1480,1152,1113,-5,294,-340,-529,583,-1453,62,-507
2024-01-01,13,18847,23238,17203,2769,6488,0,16726,0,1464,1280,1404,-5,129,-340,-529,796,-1453,169,-486
2024-01-01,14,19287,23660,17616,2673,6488,0,16726,0,1446,1539,1425,-5,117,-340,-529,803,-1453,183,-484
2024-01-01,15,19917,23878,18213,2603,6488,0,16726,0,1035,1619,1602,-4,103,-340,-529,691,-1453,394,-573
2024-01-01,16,20395,23998,18677,2532,6488,0,16726,0,630,1435,1618,-4,102,-405,-528,687,-1436,416,-571
2024-01-01,17,21582,24790,19824,2448,6488,0,16726,0,407,1145,1892,-4,151,-450,-529,988,-1218,686,-192
2024-01-01,18,22082,25030,20306,2363,6488,150,16726,0,205,1320,1909,-4,163,-450,-529,999,-1160,698,-149
2024-01-01,19,23168,25578,21239,2248,6488,733,16726,0,58,1257,1995,-4,417,-450,-529,999,-769,525,449
2024-01-01,20,23753,26052,21758,2133,6488,1533,16726,0,26,1280,2000,-4,424,-450,-529,999,-690,526,498
2024-01-01,21,24471,26631,22359,2030,6488,2266,16726,0,330,929,1999,-4,975,-388,-530,999,-308,969,761
2024-01-01,22,24864,26606,22683,1927,6488,2629,16726,0,18,649,2000,-4,1003,-350,-530,999,-240,998,780
2024-01-01,23,25947,27435,23632,1844,6488,2876,16726,0,17,634,2000,-4,1003,-337,-530,999,33,998,780
2024-01-01,24,26664,28121,24317,1761,6488,2535,16726,0,15,799,2000,-4,1003,-308,-530,999,97,998,780
2024-01-01,25,27852,29324,25408,1643,6488,2162,16726,0,13,897,2001,-4,1003,-325,-530,999,469,998,780
2024-01-01,26,28748,30225,26240,1525,6488,1971,16726,0,10,671,2000,-4,1004,-332,-531,999,545,998,780
2024-01-01,27,29377,30790,26831,1408,6488,1523,16726,0,7,541,2001,-4,1003,-271,-531,999,919,998,780
2024-01-01,28,30067,31369,27443,1291,6488,909,16726,0,7,364,2001,-4,1003,-220,-471,999,993,998,780
2024-01-01,29,30374,31735,27668,1242,6488,542,16726,0,8,216,2000,-4,1003,-235,-514,999,1353,998,780
2024-01-01,30,30972,32271,28180,1192,6488,222,16726,0,9,222,2000,-4,1003,-272,-414,999,1398,998,780
2024-01-01,31,31758,32988,28907,1231,6488,40,16726,0,11,300,2001,-4,1003,-235,-380,999,1399,998,780
2024-01-01,32,32493,33532,29557,1269,6488,0,16726,0,4,131,2000,-4,975,-196,-235,999,1398,998,780
2024-01-01,33,33787,34542,30682,1365,6488,0,16726,0,5,466,2000,-4,544,-64,-82,1018,1399,998,780
2024-01-01,34,34792,35546,31679,1461,6488,0,16726,0,3,676,2000,-4,544,-147,0,1019,1399,997,780
2024-01-01,35,34845,35637,31786,1590,6488,0,16726,0,4,900,2000,-4,950,-184,0,1019,1399,998,780
2024-01-01,36,34479,35281,31533,1719,6488,0,16726,0,5,1254,2000,-4,973,-193,0,1020,1399,997,780
2024-01-01,37,33608,34319,30891,1924,6488,0,16726,0,5,1512,2000,-4,530,-102,25,1019,1399,997,780
2024-01-01,38,32724,33573,30128,2128,6488,0,16726,0,6,1700,1999,-4,529,-188,-51,1019,1369,997,780
2024-01-01,39,31674,32416,29302,2338,6488,0,16726,0,11,2355,1999,-4,697,-118,-9,1019,995,997,780
2024-01-01,40,30525,31348,28321,2547,6488,0,16726,0,12,2846,1999,-4,709,-207,0,1019,919,997,767
2024-01-01,41,28786,29550,26661,2764,6488,0,16726,0,11,3450,1999,-4,569,-149,0,1019,545,997,251
2024-01-01,42,27781,28651,25740,2980,6488,0,16726,0,111,3865,1997,-4,539,-155,0,1019,470,997,208
2024-01-01,43,26182,27632,24362,3126,6488,0,16726,0,283,4545,1921,-4,-415,-148,0,948,96,997,5
2024-01-01,44,24879,26429,23296,3272,6488,0,16726,0,231,4370,1901,-4,-455,-203,-57,944,19,993,-23
2024-01-01,45,23495,24747,22053,3384,6488,0,16726,0,219,4980,1244,-4,112,-67,-4,589,-358,864,-747
2024-01-01,46,22352,24070,20978,3496,6488,0,16726,0,576,4661,1201,-4,122,-102,0,527,-436,855,-793
2024-01-01,47,20807,24390,19640,3668,6488,0,16726,0,740,5284,1090,-4,-532,-206,-64,-617,-820,822,-738
2024-01-01,48,20060,24309,18907,3840,6488,0,16727,0,974,4580,1060,-4,-621,-252,-210,-689,-899,822,-727
2024-01-02,1,20056,24045,18924,3781,6488,0,16727,0,977,4651,316,-4,-628,-322,-166,137,-1292,913,-485
2024-01-02,2,20391,24303,19310,3721,6488,0,16727,0,960,4698,274,-4,-627,-330,-43,181,-1348,920,-475
2024-01-02,3,20055,24401,19000,3630,6488,0,16727,0,699,4718,490,-4,-732,-330,-144,-397,-1440,994,-768
2024-01-02,4,19350,24288,18393,3539,6488,0,16727,0,1140,4380,512,-4,-735,-293,-295,-420,-1451,996,-794
2024-01-02,5,19219,23840,18219,3420,6488,0,16727,0,1212,4158,799,-4,-580,-328,-446,79,-1451,923,-794
2024-01-02,6,19001,23306,17888,3300,6488,0,16727,0,842,3587,816,-4,-579,-301,-528,102,-1451,918,-794
2024-01-02,7,18649,22999,17505,3110,6488,0,16727,0,919,3252,892,-4,-550,-330,-495,96,-1452,918,-794
